Building Abbr (Sp Ut Building View Mv),Latitude (Sp Ut Building View Mv),Longitude (Sp Ut Building View Mv)
WWH,30.289324,-97.741847
WRW,30.28749661,-97.73589749
WMB,30.28542,-97.740576
WIN,30.28589309,-97.73446115
WGB,30.3155,-97.7292
WEL,30.286471,-97.737709
WCP,30.28488256,-97.7362781
WCH,30.286087,-97.738394
WAT,30.278398,-97.733593
WAG,30.2851116,-97.73759902
UTX,30.2843175,-97.73442635
UTC,30.283033,-97.738841
UTA,30.27932,-97.74284
UPB,30.284077,-97.730421
UNB,30.28666,-97.74122
UIL,30.283338,-97.723696
UA9,30.290304,-97.7385897
TTC,30.281382,-97.726789
TSG,30.29118332,-97.73855255
TSC,30.27988361,-97.73351459
TSB,30.3152061,-97.72666147
TRG,30.27908051,-97.73391809
TNH,30.2885991,-97.73100554
TMM,30.28698698,-97.73236361
TES,30.28819988,-97.73310265
TCC,30.286997,-97.729041
TAY,30.286421,-97.736355
SZB,30.281685,-97.738765
SWG,30.29112355,-97.73706076
SW7,30.290808,-97.7362921
SUT,30.28497,-97.740816
STD,30.2838661,-97.7314304
SSW,30.280642,-97.732393
SSB,30.2899559,-97.7383285
SRH,30.28499,-97.728866
SOF,30.28085134,-97.7274683
SMC,30.2763,-97.733981
SJH,30.28234722,-97.73440543
SJG,30.287731,-97.732869
SER,30.287369,-97.734671
SEA,30.2898231,-97.7371279
SBS,30.28045128,-97.72506538
SAG,30.28868891,-97.74265832
RSC,30.2814739,-97.7323561
RRH,30.282212,-97.741461
ROW,30.27764823,-97.77461596
RLP,30.2849382,-97.73537145
RLM,30.288845,-97.736094
RHD,30.28305002,-97.73512552
QTR,30.286429,-97.745006
PRH,30.27715354,-97.94439565
PPL,30.2865154,-97.73521428
PPE,30.28688227,-97.73587139
PPB,30.2813458,-97.72694
PPA,30.2868605,-97.7343988
POB,30.286839,-97.736556
PHR,30.28802,-97.738574
PHD,30.282395,-97.735093
PH1,30.285584,-97.726416
PCL,30.282773,-97.738194
PB6,30.28633026,-97.73484698
PB5,30.28632038,-97.73477669
PB2,30.28660557,-97.73425517
PAT,30.28799215,-97.73642741
PAR,30.284911,-97.740106
PAI,30.287159,-97.738924
PAC,30.2863,-97.731238
PA4,30.28653428,-97.73455502
PA3,30.28640082,-97.73455948
PA1,30.28631933,-97.73457053
NUR,30.2776692,-97.7333708
NUG,30.288722,-97.743395
NMS,30.28921329,-97.73760146
NHB,30.28763887,-97.73802078
NEZ,30.2846,-97.7325
N24,30.288395,-97.743512
MTC,30.2834394,-97.72752393
MSB,30.282744,-97.725686
MRH,30.2873,-97.730977
MNC,30.282347,-97.732724
MMS,30.281712,-97.729563
MHD,30.28362708,-97.735344
MFH,30.28199462,-97.73112496
MEZ,30.28438634,-97.73888314
MBB,30.28848436,-97.73726278
MB1,30.28761976,-97.73665471
MAI,30.28601688,-97.7393865
MAG,30.282775,-97.73093
LTH,30.28595905,-97.7352152
LTD,30.28931492,-97.73970884
LLF,30.291145,-97.740844
LLE,30.290905,-97.741012
LLC,30.29111,-97.740454
LLB,30.290866,-97.740478
LLA,30.290622,-97.740503
LFH,30.28810989,-97.74077442
LDH,30.28261438,-97.73591694
LCH,30.28856,-97.740856
LCD,30.278306,-97.741368
LBJ,30.285809,-97.729182
LAC,30.28507494,-97.7787621
KIN,30.290386,-97.739637
K10,30.31552074,-97.8656536
JON,30.28862252,-97.7316514
JHH,30.27837563,-97.7320249
JGB,30.2859018,-97.7357148
JES,30.28287892,-97.73681243
JCD,30.281762,-97.736628
IPF,30.286269,-97.7265564
IMB,30.31366309,-97.73083375
IMA,30.31391843,-97.73066322
ICB,30.31481574,-97.72778308
IC2,30.294793,-97.746722
HTB,30.2772,-97.7351
HSM,30.288922,-97.740762
HRH,30.28416985,-97.74023488
HRC,30.284344,-97.741221
HMA,30.286886,-97.740618
HLB,30.2755006,-97.73328408
HDB,30.2781,-97.7347
HCG,30.276301,-97.735502
GWB,30.28781861,-97.73990747
GUG,30.279535,-97.743231
GSB,30.284182,-97.738335
GRS,30.28365,-97.736028
GRP,30.284436,-97.735881
GRF,30.284159,-97.735627
GRE,30.283998,-97.736399
GRC,30.283818,-97.735906
GOL,30.285303,-97.741156
GEB,30.286346,-97.738621
GEA,30.287731,-97.739212
GDC,30.28627118,-97.73650518
GAR,30.285139,-97.738492
G06,30.285209,-97.732959
G01,30.281471,-97.733291
FSB,30.29029442,-97.735498
FNT,30.287837,-97.738018
FDH,30.28942203,-97.73253086
FCS,30.2840682,-97.73960047
FC9,30.28382868,-97.7239717
FC8,30.285408,-97.724107
FC7,30.283335,-97.726419
FC6,30.283451,-97.725744
FC5,30.283638,-97.724593
FC4,30.284299,-97.723557
FC3,30.284708,-97.723749
FC2,30.283916,-97.723113
FC1,30.284557,-97.72256
FAC,30.2862994,-97.74037063
ETC,30.28993516,-97.73537732
ESB,30.287646,-97.738014
ERC,30.27693869,-97.73221689
EPS,30.285773,-97.736661
ENS,30.288105,-97.735333
EHZ,30.29025071,-97.73547063
EER,30.288258,-97.735345
ECJ,30.288999,-97.735554
ECG,30.27949,-97.728055
E26,30.29258,-97.736288
E23,30.2861798,-97.7350218
DTB,30.287316,-97.732199
DPI,30.3048,-97.704
DFF,30.27920686,-97.72676518
DFA,30.285858,-97.731794
DEV,30.28735,-97.72357
DCP,30.27618434,-97.73303437
CT1,30.28661639,-97.73476455
CSB,30.281679,-97.734906
CS7,30.280189,-97.731351
CS6,30.286414,-97.735733
CS5,30.290703,-97.735479
CS4,30.288676,-97.732456
CS3,30.280683,-97.735509
CS2,30.2861,-97.7367
CRH,30.28852987,-97.73337824
CRD,30.28869,-97.740052
CRB,30.282142,-97.726464
CPE,30.29025858,-97.73613343
CPC,30.279359,-97.724985
CPB,30.29105722,-97.73624989
COM,30.285643,-97.73853
CML,30.282951,-97.725246
CMB,30.289215,-97.74115
CMA,30.289424,-97.74071
CLK,30.28168313,-97.7348936
CEE,30.2906417,-97.7364284
CDL,30.278769,-97.733034
CDA,30.282977,-97.72565
CCJ,30.28811935,-97.73043805
CBA,30.284231,-97.737859
CAL,30.284494,-97.740176
BWY,30.29080626,-97.73821954
BUR,30.288871,-97.738339
BTL,30.285417,-97.740314
BSB,30.281431,-97.735449
BRG,30.2809117,-97.7361753
BRB,30.28523074,-97.73671608
BOT,30.286946,-97.740046
BMS,30.281108,-97.738222
BMK,30.281736,-97.737981
BME,30.289246,-97.738522
BMC,30.29022276,-97.74082411
BMA,30.280982,-97.737452
BLD,30.288646,-97.73938
BIO,30.287224,-97.739759
BHD,30.283123,-97.735967
BGH,30.286915,-97.738827
BEN,30.283972,-97.739001
BEL,30.28371943,-97.73368227
BAT,30.28481,-97.738915
ATT,30.282014,-97.740637
ASE,30.2910845,-97.7375139
ART,30.286165,-97.733061
ARC,30.291617,-97.736269
AND,30.288222,-97.739788
ANB,30.27825093,-97.73102206
AHG,30.288259,-97.737733
AFP,30.285306,-97.726276
ADH,30.291533,-97.740336
ACA,30.28835998,-97.73639224
